,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
200,Misery,spotify:track:6Zz846CtUmQGP5z4F7sccA,52,2019-08-09,0.343,0.732,0,-5.189,1,0.044,0.00533,0.00302,0.0685,0.392,180.162,6Zz846CtUmQGP5z4F7sccA,180772,4
201,Just A Little While,spotify:track:4ofr8ORQ9w1QuxGLBwRiQk,61,2021-10-15,0.636,0.788,5,-9.177,0,0.0432,0.0897,0.0,0.286,0.701,125.0,4ofr8ORQ9w1QuxGLBwRiQk,162608,4
202,Autumn Love,spotify:track:0Oo5Vuk60VCYYGqcyXTemd,38,2020-02-14,0.527,0.64,2,-9.913,1,0.0313,0.735,0.575,0.104,0.337,94.996,0Oo5Vuk60VCYYGqcyXTemd,295120,4
203,All My Friends,spotify:track:1UqyDhY11j0WlJUZfBoF03,44,2022-04-07,0.6,0.578,10,-5.779,0,0.249,0.0532,0.0,0.051,0.807,179.877,1UqyDhY11j0WlJUZfBoF03,144065,4
204,Stitches,spotify:track:7tbzPLKvG08lwU6h33wSso,39,2021-08-27,0.775,0.485,6,-6.958,1,0.0474,0.0198,4.06e-05,0.0942,0.408,146.046,7tbzPLKvG08lwU6h33wSso,160929,4
205,Feathered Indians,spotify:track:2tgQaL85WoRfgEa4hFQgrE,76,2017-08-04,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,2tgQaL85WoRfgEa4hFQgrE,224947,4
206,Seeds,spotify:track:6S2Uha79wlOXCRlDOImZkZ,58,2021-05-07,0.502,0.666,2,-8.319,1,0.0505,0.33,0.00638,0.0961,0.148,171.957,6S2Uha79wlOXCRlDOImZkZ,251269,4
207,Growing Sideways,spotify:track:1JcIXOir94YUYBt2cXTzn2,67,2022-10-14,0.665,0.296,7,-8.64,1,0.0276,0.744,0.0,0.0922,0.539,89.142,1JcIXOir94YUYBt2cXTzn2,255144,4
208,SHE SAID HE SAID SHE SAID,spotify:track:61SwOvGpjoANrBOVgBZvMi,56,2022-10-13,0.668,0.678,11,-7.655,0,0.0425,0.228,0.0,0.591,0.587,104.971,61SwOvGpjoANrBOVgBZvMi,157325,4
209,New York,spotify:track:3OYjY6wUHlMuIqz0qWNZKP,15,2022-10-13,0.639,0.784,7,-3.476,1,0.03,0.00635,2.68e-06,0.693,0.626,91.021,3OYjY6wUHlMuIqz0qWNZKP,214945,4
210,2AM,spotify:track:39OJhQWyBJteRK1elY7VJA,61,2021-10-15,0.701,0.713,7,-7.044,1,0.0391,0.109,0.143,0.0825,0.978,154.016,39OJhQWyBJteRK1elY7VJA,153698,4
211,The Best Part,spotify:track:7cTdoab0aheNMSboE5Wcbz,40,2016-06-24,0.535,0.596,9,-9.144,1,0.0365,0.0292,0.0655,0.0949,0.546,125.296,7cTdoab0aheNMSboE5Wcbz,201519,3
212,Aquaman,spotify:track:71wT7aMCFPYfzutF66OLac,41,2014-12-02,0.63,0.772,1,-6.986,1,0.0297,0.51,2.26e-05,0.0881,0.721,99.964,71wT7aMCFPYfzutF66OLac,240000,4
213,Late September,spotify:track:1fz1HsRgi8nfSd6sKPyq9f,6,2022-10-07,0.493,0.224,1,-11.621,0,0.0833,0.752,0.00414,0.125,0.168,89.109,1fz1HsRgi8nfSd6sKPyq9f,265587,3
214,"Mama, I Don’t Wanna Go to Nashville",spotify:track:0dpd9WdIoi1acNLchN1NMd,37,2021-06-11,0.573,0.317,0,-12.567,1,0.0362,0.845,0.0,0.14,0.292,109.726,0dpd9WdIoi1acNLchN1NMd,199840,4
215,Dear August,spotify:track:16gW9O8A4rIMx5OOVlzsSn,65,2021-02-12,0.643,0.324,0,-7.817,1,0.0338,0.8,0.0,0.111,0.444,147.019,16gW9O8A4rIMx5OOVlzsSn,200940,4
216,Cover Me Up,spotify:track:3vXV74qD7f4lLclUkSIGwt,0,2016-10-16,0.434,0.0685,3,-20.32,1,0.034,0.835,0.0,0.111,0.182,138.287,3vXV74qD7f4lLclUkSIGwt,281034,3
217,Reason for Dreaming,spotify:track:5t8LR0beVXg82NiTuUMJgm,0,2018-06-15,0.558,0.102,7,-13.357,1,0.0421,0.938,4.74e-05,0.108,0.504,84.505,5t8LR0beVXg82NiTuUMJgm,213213,4
218,Couch,spotify:track:62jTONp5YKMM1XSNbz9cF3,57,2021-08-16,0.72,0.419,7,-10.494,1,0.0266,0.418,0.115,0.106,0.215,109.992,62jTONp5YKMM1XSNbz9cF3,123965,4
219,Pool House,spotify:track:74f0dpqHhTeTJzs4pmZ1yq,68,2019-01-27,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,74f0dpqHhTeTJzs4pmZ1yq,269412,4
220,I Look Like A Fool,spotify:track:5RUE174n1DFb5o6PUFoWsK,19,2022-10-07,0.556,0.724,0,-3.7,1,0.0297,0.00752,0.0,0.113,0.538,126.003,5RUE174n1DFb5o6PUFoWsK,215860,4
221,Movie,spotify:track:6TYTfhs1OWH2Mg84WdXwiJ,2,2021-10-08,0.269,0.453,5,-9.498,1,0.0449,0.44,0.0,0.119,0.198,160.104,6TYTfhs1OWH2Mg84WdXwiJ,247290,3
222,Lost in Your Love,spotify:track:1BWxa53lhqRDtfTPhLe0sh,9,2022-09-16,0.539,0.577,2,-5.813,1,0.063,0.0193,0.0,0.0931,0.316,159.526,1BWxa53lhqRDtfTPhLe0sh,267431,4
223,Foolin' Ourselves,spotify:track:361JEzuDcOaghJd0zdiOYU,45,2022-10-07,0.804,0.266,10,-9.918,1,0.0408,0.796,0.0,0.111,0.79,116.959,361JEzuDcOaghJd0zdiOYU,191538,4
224,would you love me now?,spotify:track:2PKKGrBkNB8bV8Vv4hwB2j,58,2022-10-06,0.544,0.365,0,-7.286,1,0.0368,0.794,0.0,0.186,0.322,126.916,2PKKGrBkNB8bV8Vv4hwB2j,205647,4
225,Don't Tell My Mom,spotify:track:52xPJ6sISOam1g1blK9RF0,30,2022-09-30,0.695,0.349,9,-9.286,1,0.0482,0.636,8.36e-06,0.123,0.262,93.178,52xPJ6sISOam1g1blK9RF0,188544,4
226,Goodnight,spotify:track:69jstgacdd40OwG9cLl45r,60,2020-04-24,0.484,0.346,2,-10.441,1,0.0371,0.603,0.000181,0.204,0.0974,79.972,69jstgacdd40OwG9cLl45r,176747,3
227,The Problem Song,spotify:track:7flrjP7Dag40j2Fw8TX4iC,51,2022-09-29,0.515,0.726,11,-5.309,1,0.0786,0.000619,0.0,0.131,0.513,175.898,7flrjP7Dag40j2Fw8TX4iC,157571,4
228,Anyway,spotify:track:5FwlCxV2Q4xjTywLsD3Kxe,57,2020-05-01,0.65,0.156,7,-10.686,1,0.0338,0.742,0.0,0.126,0.243,133.919,5FwlCxV2Q4xjTywLsD3Kxe,312146,4
229,The Kiss Of Venus (Dominic Fike),spotify:track:28kOGtTZzbfQ8fMmTwjRFq,59,2021-04-16,0.715,0.374,8,-6.665,1,0.0399,0.627,0.0,0.11,0.633,89.982,28kOGtTZzbfQ8fMmTwjRFq,143531,4
230,Loving Me,spotify:track:7DQrwD1PUkeq6gpOBmh17n,18,2022-05-13,0.775,0.566,9,-8.03,1,0.0421,0.0489,0.0,0.169,0.911,125.999,7DQrwD1PUkeq6gpOBmh17n,164480,4
231,Annie's Song,spotify:track:4J0DbyODwZJcmIAiTSJfMF,69,1974-06-15,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,4J0DbyODwZJcmIAiTSJfMF,180693,3
232,Do You Hear the Talking Too,spotify:track:3YSDx0EFtghpYf9wfClWPx,34,2022-06-11,0.684,0.0796,10,-25.106,1,0.0598,0.935,0.000795,0.247,0.28,118.475,3YSDx0EFtghpYf9wfClWPx,288366,3
233,Me & All My Friends Have Got the Blues,spotify:track:4Pr1hC77XU61BHPUTuRKju,11,2022-09-22,0.481,0.16,1,-8.948,1,0.0413,0.941,9.01e-06,0.281,0.535,161.796,4Pr1hC77XU61BHPUTuRKju,177410,4
234,When You Think Of Me,spotify:track:7t99DAaOhydc0GoqkiqfEi,59,2022-09-23,0.413,0.314,1,-10.591,1,0.0864,0.749,0.0,0.449,0.14,81.219,7t99DAaOhydc0GoqkiqfEi,210133,4
235,Finally Fine,spotify:track:6JQlOSz9Jd03zn7C3aq0TU,39,2022-09-16,0.611,0.252,10,-12.623,1,0.0467,0.904,0.0,0.337,0.583,94.948,6JQlOSz9Jd03zn7C3aq0TU,144000,4
236,Why Not?,spotify:track:4CZrDrP8pmwHkUl2eqwPeG,45,2022-09-23,0.465,0.527,10,-5.365,1,0.0257,0.511,1.01e-05,0.315,0.362,132.972,4CZrDrP8pmwHkUl2eqwPeG,149512,4
237,I Wanna,spotify:track:0yG5r8xqtJLfMfbsiak6Ra,29,2022-09-22,0.708,0.785,2,-7.963,1,0.0498,0.0512,0.000407,0.173,0.608,110.961,0yG5r8xqtJLfMfbsiak6Ra,210591,4
238,Can I Kiss You?,spotify:track:4N1L4sd80b1E8FmWK7Xgcz,53,2020-03-13,0.688,0.654,3,-5.617,1,0.0587,0.52,0.0,0.128,0.354,98.81,4N1L4sd80b1E8FmWK7Xgcz,207646,4
239,Wildfire,spotify:track:2GQomOm5bdbNnUooS3HEuF,60,2021-06-25,0.564,0.352,9,-10.788,1,0.0321,0.673,0.000213,0.449,0.415,85.013,2GQomOm5bdbNnUooS3HEuF,151913,4
240,You and Me On The Rock (feat. Lucius),spotify:track:6X3ClLAqJdXMVbtU1yjlG8,0,2022-09-02,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,6X3ClLAqJdXMVbtU1yjlG8,230098,4
241,Ghosts,spotify:track:17DTV3UEaE6T8yWgygOUlW,49,2022-07-15,0.408,0.185,10,-8.89,1,0.0286,0.957,0.000417,0.14,0.303,107.713,17DTV3UEaE6T8yWgygOUlW,162515,4
242,You and Me On The Rock (In The Canyon Haze),spotify:track:7tmtdHPAoUZLuJqTnDR7FS,3,2022-09-02,0.594,0.261,11,-8.342,1,0.0348,0.9,0.0,0.0798,0.509,159.903,7tmtdHPAoUZLuJqTnDR7FS,257853,4
243,Olive Branch,spotify:track:3pVzShxGXrhPMN1KyN1Dkf,40,2022-09-16,0.348,0.421,3,-7.596,1,0.032,0.781,3.11e-06,0.243,0.238,158.55,3pVzShxGXrhPMN1KyN1Dkf,255915,3
244,Northern Attitude,spotify:track:5hAFKx1IMhvx73JA6MSkIP,58,2022-09-16,0.515,0.641,3,-8.205,1,0.0475,0.116,3.17e-05,0.104,0.3,121.826,5hAFKx1IMhvx73JA6MSkIP,267256,4
245,October,spotify:track:3RFUn5Dh6V48X3m1bEC1AT,13,2022-09-16,0.442,0.462,4,-6.4,1,0.0351,0.643,0.0,0.249,0.188,143.431,3RFUn5Dh6V48X3m1bEC1AT,224440,3
246,Lead Me Home,spotify:track:6nqGaeoYs2PL1O47B2K1xE,13,2022-06-24,0.668,0.376,2,-11.864,1,0.0427,0.839,0.0,0.197,0.74,106.143,6nqGaeoYs2PL1O47B2K1xE,178868,4
247,Don’t Feel Right,spotify:track:4AMpDSHuSid2bSn3EYUMX9,11,2022-06-17,0.542,0.544,2,-7.509,1,0.05,0.826,0.0,0.145,0.294,90.673,4AMpDSHuSid2bSn3EYUMX9,180480,4
248,Please,spotify:track:1Su4HXSrbzj02CPBOoVLli,49,2018-01-12,0.655,0.445,9,-7.703,1,0.03,0.136,0.0,0.105,0.126,145.989,1Su4HXSrbzj02CPBOoVLli,252093,4
249,Kiss Me,spotify:track:1Xq9ilOLiknCaGYtSsvFrH,19,2022-09-02,0.636,0.827,0,-3.201,0,0.0355,0.00132,0.0,0.0679,0.487,120.049,1Xq9ilOLiknCaGYtSsvFrH,229436,4
250,Daylight,spotify:track:51Zw1cKDgkad0CXv23HCMU,79,2022-05-20,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,51Zw1cKDgkad0CXv23HCMU,164533,3
251,Naive (Live Acoustic),spotify:track:012NJSdURT6pzuzl1cSUG6,30,2022-09-09,0.487,0.0702,7,-15.854,1,0.0443,0.942,0.0,0.103,0.247,81.22,012NJSdURT6pzuzl1cSUG6,227650,5
252,Sky is the Limit,spotify:track:1OBK4DltPHWoeilauCyckU,59,2022-09-09,0.519,0.256,4,-14.184,1,0.0444,0.891,0.0,0.181,0.281,122.715,1OBK4DltPHWoeilauCyckU,159345,4
253,break my heart,spotify:track:5nlKcuzD8Pd79njhGXt1vT,60,2022-09-02,0.511,0.556,11,-5.505,0,0.0321,0.536,8.95e-06,0.1,0.339,160.043,5nlKcuzD8Pd79njhGXt1vT,178099,4
254,Hurts (But It Goes Away) - Acoustic,spotify:track:0Jgk1xdaIbtHdW1hjeQXiV,39,2022-09-09,0.614,0.433,10,-6.091,1,0.0329,0.76,0.0,0.0722,0.537,97.801,0Jgk1xdaIbtHdW1hjeQXiV,188347,4
255,Kill For Your Love,spotify:track:4eaynYNbGdL9F90LGLcUsU,58,2022-09-09,0.81,0.704,7,-8.739,1,0.205,0.211,2.44e-06,0.371,0.42,119.991,4eaynYNbGdL9F90LGLcUsU,192171,4
256,Forget Me,spotify:track:5uSFGgIfHMT3osrAd9n9ym,81,2022-09-09,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,5uSFGgIfHMT3osrAd9n9ym,203472,4
257,Older (feat. Sierra Deaton),spotify:track:3NnvYEb93CrTVBssPtSCt1,20,2022-09-07,0.317,0.378,4,-11.107,0,0.0302,0.815,1.06e-06,0.125,0.127,67.721,3NnvYEb93CrTVBssPtSCt1,197897,4
258,Palm of Your Hand,spotify:track:3IUUU3fzroKZjDTqST9FNJ,17,2021-01-18,0.583,0.327,3,-12.984,1,0.0334,0.775,0.757,0.118,0.0458,119.92,3IUUU3fzroKZjDTqST9FNJ,221443,4
259,IDK,spotify:track:6MAzWiyrMZYQiVzfuxPXl2,0,2021-06-25,0.724,0.728,11,-8.443,0,0.032,0.243,0.375,0.291,0.785,111.073,6MAzWiyrMZYQiVzfuxPXl2,207838,4
260,That So,spotify:track:39CGQf63kR3hgVbzPAyhRo,4,2022-03-11,0.664,0.578,9,-7.673,1,0.0272,0.00893,0.753,0.11,0.704,115.175,39CGQf63kR3hgVbzPAyhRo,187047,4
